N_d	W_d	N_sch	W_sch	N_trns	W_trns
0.0	0.0	0.0	0.0	0.000953936283549	0.0
0.0	0.0	0.0	0.0	0.000535182171363	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	8.9772297551e-05
0.0	0.0	0.0	0.0	0.0	5.22610352494e-05
204.839365317	109.383916029	0.802479394928	0.430584789087	2.19631262574	0.831709426605
301.53921968	161.806712622	1.0	0.635178080257	3.6	2.03159692546
337.082901949	181.083844902	1.0	0.710049661963	3.6	2.49015005611
301.53921968	161.806712622	1.0	0.635066898718	3.6	2.47115376634
204.839365317	109.383916029	0.802204860959	0.430506504515	3.6	1.96927421306
0.0	0.0	0.0	0.0	3.6	0.752094447261
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	1.85792513794e-06
0.0	0.0	0.0	0.0	3.6	2.13818269902e-06
0.0	0.0	0.0	0.0	1.98158340109	1.40128780543e-07
0.0	0.0	0.228030099813	0.0	0.660672417656	0.0
0.0	0.0	1.0	0.0	0.221299819065	0.0
0.0	0.0	1.0	0.0	0.0739116269331	2.14724544674e-07
0.0	0.0	0.59727858245	0.0	0.0248271650615	3.92151207283e-07
0.0	0.0	0.0	0.0	0.0085565188063	8.87133313042e-08
0.0	0.0	0.0	0.0	0.00203170367712	0.0
0.0	0.0	0.0	0.0	0.00106357846254	0.0
0.0	0.0	0.0	0.0	0.000145445327773	1.57514016713e-08
0.0	0.0	0.0	0.0	0.0	6.7983768159e-08
0.0	0.0	0.0	0.0	0.0	2.61161832439e-08
0.0	0.0	0.0	0.0	7.84053099024e-05	0.0
0.0	0.0	0.0	0.0	0.00019033062874	0.0
0.0	0.0	0.0	0.453143256743	5.59626594188e-05	0.0
204.872196704	69.4431246904	1.0	1.0	2.14362269381	0.443772655709
300.379706898	102.29816222	1.0	0.402416752588	3.6	1.12843934801
335.47253665	114.375351125	1.0	0.449477816193	3.6	1.40575839962
300.379706898	102.29816222	1.0	0.402284688796	3.6	1.39921478662
204.872196704	69.4431246904	1.0	0.273670480602	3.6	1.10737131846
0.0	0.0	0.0	0.0	3.6	0.425958372063
0.0	0.0	0.0	0.0	3.6	1.3168883441e-09
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.36456529432	0.0
0.0	0.0	0.0	0.0	1.12389468085	2.35728918076e-10
0.0	0.0	0.371519841338	0.419877239538	0.373718002063	2.58769543696e-10
0.0	0.0	1.0	1.0	0.124451415609	1.15203128098e-11
0.0	0.0	0.339017374775	0.0	0.0432709476898	0.0
0.0	0.0	0.0	0.0	0.0122117510231	0.0
0.0	0.0	0.0	0.0	0.00399029439252	2.80260756583e-11
0.0	0.0	0.0	0.0	0.0011477112711	4.77992698924e-11
0.0	0.0	0.0	0.0	0.00174158419546	9.88659711703e-12
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.00080156230439	2.26743481766e-12
0.0	0.0	0.0	0.0	0.000470010945537	8.34445078501e-12
0.0	0.0	0.0	0.123163149373	0.0	3.03850798367e-12
0.0	0.0	0.0	0.0266399363898	0.0	0.0
284.850477289	96.9380352565	1.0	0.381200087135	3.6	0.684609732771
415.92778794	142.194896435	1.0	0.557061773964	3.6	1.69988864061
464.072241515	158.824560963	1.0	0.621072067197	3.6	2.08944738366
415.92778794	142.194896435	1.0	0.556634672494	3.6	2.0749008901
284.850477289	96.9380352565	1.0	0.380868240242	3.6	1.65269161227
0.0	0.0	0.172981138286	0.0	3.6	0.628957652661
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	2.11781397509e-13
0.0	0.0	0.0	0.0	3.6	1.57885392832e-13
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0480351700949	3.6	0.0
0.0	0.0	0.231890122251	0.280010875721	3.6	0.0
0.0	0.0	1.0	0.0	3.6	2.9841174981e-14
0.0	0.0	1.0	0.0	3.6	3.12877613021e-14
0.0	0.0	0.466918535311	0.0	3.6	7.23293160547e-16
0.0	0.0	0.0	0.0	2.25800895198	0.0
0.0	0.0	0.0	0.0	0.751725185797	0.0
0.0	0.0	0.0	0.0	0.250696932634	3.63973522756e-15
0.0	0.0	0.0	0.0	0.0837283202435	5.82124942161e-15
0.0	0.0	0.0	0.0	0.0281246160288	1.09075709703e-15
0.0	0.0	0.0	0.0	0.00969296333065	0.0
0.0	0.0	0.0	0.0	0.00120483891209	0.0
0.0	0.0	0.0	0.0	0.00090491237558	3.18622266316e-16
0.0	0.0	0.128362103646	0.16068220082	0.00090491237558	1.02331194799e-15
284.859298196	123.434736753	1.0	1.0	3.6	0.945656252484
414.196474518	180.276752213	1.0	1.0	3.6	2.31234403451
461.683377954	201.155164677	1.0	1.0	3.6	2.80973620438
414.196474518	180.276752213	1.0	0.748988574556	3.6	2.78392627589
284.859298196	123.434736753	1.0	0.484112721934	3.6	2.22854198622
0.0	0.0	0.0	0.0	3.6	0.84791523766
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	2.64072458332e-17
0.0	0.0	0.0	0.0	3.6	1.89066042647e-17
0.0	0.0	0.497500701067	0.474061410688	3.6	0.0
0.0	0.0	0.27051940408	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	3.76969582718e-18
0.0	0.0	0.0	0.0	1.43007643769	3.77938334865e-18
0.0	0.0	0.0	0.0	0.475696859729	4.84376073612e-21
0.0	0.0	0.0	0.0	0.158411158779	0.0
0.0	0.0	0.0	0.0	0.0525960916152	0.0
0.0	0.0	0.0	0.0	0.0172702794751	4.70606508305e-19
0.0	0.0	0.0	0.0	0.00544265876328	7.08331642826e-19
0.0	0.0	0.0	0.0	0.00161726873531	1.1886256726e-19
0.0	0.0	0.0	0.0	0.0024131633446	0.0
0.0	0.0	0.146635771416	0.452626803744	0.0	0.0
244.868538381	337.333384479	1.0	1.0	3.6	3.6
354.52820178	490.502171593	1.0	1.0	3.6	3.6
394.774249875	546.739058362	1.0	1.0	3.6	3.6
354.52820178	490.502171593	1.0	1.0	3.6	3.6
244.868538381	337.333384479	0.955080163666	1.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.489088099557	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.57125460061	3.6
0.0	0.0	0.0	0.0	1.1890828652	3.6
0.0	0.0	0.0	0.0	0.395393000718	2.32179030489
0.0	0.0	0.0	0.0	0.131669383802	0.773058372821
0.0	0.0	0.0	0.0	0.0437172165083	0.257811490006
0.0	0.0	0.0	0.0	0.0143548412814	0.0850988538416
0.0	0.0	0.0	0.0	0.00452387020167	0.0295905504909
0.0	0.0	0.0	0.0	0.00134425363748	0.0102214056813
0.0	0.0	0.0	0.0	0.00200579132764	0.00127334096754
0.0	0.0	0.0	0.0	0.000661537690159	0.000954345921974
0.0	0.0	0.0	0.150727597437	0.0	0.000954345921974
299.80236346	252.863288441	1.0	1.0	3.6	3.6
432.181777046	366.031658377	1.0	1.0	3.6	3.6
480.746065426	407.564664441	1.0	1.0	3.6	3.6
432.181777046	366.031658377	1.0	1.0	3.6	3.6
299.80236346	252.863288441	1.0	0.9879847746	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	2.07691008786
0.0	0.0	1.0	1.0	1.4913277677	0.693384825402
0.0	0.0	1.0	1.0	0.496108985087	0.231241402954
0.0	0.0	1.0	1.0	0.165208545037	0.0772305201328
0.0	0.0	1.0	0.180731415783	0.0548529778467	0.0259419837713
