NASA_sch	WRDC_sch	NASA_trns	WRDC_trns
2418.335775	995.157039731	3.6	3.6
2452.39537576	1288.28678457	3.6	3.6
2417.335775	994.157039731	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
2585.29922072	1080.98262505	3.6	3.6
2623.589605	1404.49559727	3.6	3.6
2584.29922072	1079.98262505	3.6	3.6
2622.589605	1403.49559727	3.6	3.6
2583.29922072	1078.98262505	3.6	3.6
2621.589605	1402.49559727	3.6	3.6
2582.29922072	1077.98262505	3.6	3.6
2620.589605	1401.49559727	3.6	3.6
2581.29922072	1076.98262505	3.6	3.6
2619.589605	1400.49559727	3.6	3.6
2580.29922072	1075.98262505	3.6	3.6
2618.589605	1399.49559727	3.6	3.6
2579.29922072	1074.98262505	3.6	3.6
2617.589605	1398.49559727	3.6	3.6
2578.29922072	1073.98262505	3.6	3.6
2616.589605	1397.49559727	3.6	3.6
2577.29922072	1072.98262505	3.6	3.6
2615.589605	1396.49559727	3.6	3.6
2576.29922072	1071.98262505	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
2690.97913263	1126.82621506	3.6	3.6
2713.02727879	1466.71072969	3.6	3.6
2689.97913263	1125.82621506	3.6	3.6
2712.02727879	1465.71072969	3.6	3.6
2688.97913263	1124.82621506	3.6	3.6
2711.02727879	1464.71072969	3.6	3.6
2687.97913263	1123.82621506	3.6	3.6
2710.02727879	1463.71072969	3.6	3.6
2686.97913263	1122.82621506	3.6	3.6
2709.02727879	1462.71072969	3.6	3.6
2685.97913263	1121.82621506	3.6	3.6
2708.02727879	1461.71072969	3.6	3.6
2684.97913263	1120.82621506	3.6	3.6
2707.02727879	1460.71072969	3.6	3.6
2683.97913263	1119.82621506	3.6	3.6
2706.02727879	1459.71072969	3.6	3.6
2682.97913263	1118.82621506	3.6	3.6
2705.02727879	1458.71072969	3.6	3.6
2681.97913263	1117.82621506	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
2782.0518375	1177.10534222	3.6	3.6
2811.79756212	1535.35947597	3.6	3.6
2781.0518375	1176.10534222	3.6	3.6
2810.79756212	1534.35947597	3.6	3.6
2780.0518375	1175.10534222	3.6	3.6
2809.79756212	1533.35947597	3.6	3.6
2779.0518375	1174.10534222	3.6	3.6
2808.79756212	1532.35947597	3.6	3.6
2778.0518375	1173.10534222	3.6	3.6
2807.79756212	1531.35947597	3.6	3.6
2777.0518375	1172.10534222	3.6	3.6
2806.79756212	1530.35947597	3.6	3.6
2776.0518375	1171.10534222	3.6	3.6
2805.79756212	1529.35947597	3.6	3.6
2775.0518375	1170.10534222	3.6	3.6
2804.79756212	1528.35947597	3.6	3.6
2774.0518375	1169.10534222	3.6	3.6
2803.79756212	1527.35947597	3.6	3.6
2773.0518375	1168.10534222	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
